09/22/18 19:47:56 - Criando quadras do arquivo ./temp/tmp/35503087100_face.shp
ID: 27106090. Geometria multipla encontrada. "+                        "Forcando geometria unica.
ID: 27106176. Geometria multipla encontrada. "+                        "Forcando geometria unica.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27104141. Nao foi possivel criar a face.
ID: 27103822. Nao foi possivel criar a face.
ID: 27104046. Nao foi possivel criar a face.
ID: 27104046. Nao foi possivel criar a face.
ID: 27104046. Nao foi possivel criar a face.
ID: 27104046. Nao foi possivel criar a face.
ID: 27104046. Nao foi possivel criar a face.
ID: 27104046. Nao foi possivel criar a face.
ID: 27104046. Nao foi possivel criar a face.
ID: 27104046. Nao foi possivel criar a face.
ID: 27104046. Nao foi possivel criar a face.
ID: 27104046. Nao foi possivel criar a face.
ID: 27104046. Nao foi possivel criar a face.
ID: 27104046. Nao foi possivel criar a face.
ID: 27104046. Nao foi possivel criar a face.
ID: 27104046. Nao foi possivel criar a face.
ID: 27106735. Nao foi possivel criar a face.
ID: 27106738. Nao foi possivel criar a face.
ID: 27106738. Nao foi possivel criar a face.
ID: 27106738. Nao foi possivel criar a face.
ID: 27106738. Nao foi possivel criar a face.
ID: 27106738. Nao foi possivel criar a face.
ID: 27106738. Nao foi possivel criar a face.
ID: 27105214. Nao foi possivel criar a face.
ID: 27105214. Nao foi possivel criar a face.
ID: 27105214. Nao foi possivel criar a face.
ID: 27105214. Nao foi possivel criar a face.
ID: 27105214. Nao foi possivel criar a face.
