09/22/18 19:47:49 - Criando quadras do arquivo ./temp/tmp/35503081500_face.shp
ID: 26656201. Nao foi possivel criar a face.
ID: 26656201. Nao foi possivel criar a face.
ID: 26656201. Nao foi possivel criar a face.
ID: 26656201. Nao foi possivel criar a face.
ID: 26656201. Nao foi possivel criar a face.
ID: 26656201. Nao foi possivel criar a face.
ID: 26656201. Nao foi possivel criar a face.
ID: 26656201. Nao foi possivel criar a face.
ID: 26656201. Nao foi possivel criar a face.
ID: 26656201. Nao foi possivel criar a face.
ID: 26656201. Nao foi possivel criar a face.
ID: 26656201. Nao foi possivel criar a face.
ID: 26656850. Nao foi possivel criar a face.
ID: 26656217. Nao foi possivel criar a face.
ID: 26656217. Nao foi possivel criar a face.
ID: 26656217. Nao foi possivel criar a face.
ID: 26656223. Nao foi possivel criar a face.
ID: 26656223. Nao foi possivel criar a face.
ID: 26656223. Nao foi possivel criar a face.
ID: 26656223. Nao foi possivel criar a face.
ID: 26656223. Nao foi possivel criar a face.
ID: 26656223. Nao foi possivel criar a face.
ID: 26656223. Nao foi possivel criar a face.
ID: 26656223. Nao foi possivel criar a face.
ID: 26656872. Nao foi possivel criar a face.
ID: 26656872. Nao foi possivel criar a face.
ID: 26656872. Nao foi possivel criar a face.
ID: 26656872. Nao foi possivel criar a face.
ID: 26656872. Nao foi possivel criar a face.
ID: 26656872. Nao foi possivel criar a face.
ID: 26656872. Nao foi possivel criar a face.
ID: 26656872. Nao foi possivel criar a face.
ID: 26656872. Nao foi possivel criar a face.
ID: 26656872. Nao foi possivel criar a face.
ID: 26656629. Nao foi possivel criar a face.
ID: 26656689. Nao foi possivel criar a face.
ID: 26656689. Nao foi possivel criar a face.
ID: 26656689. Nao foi possivel criar a face.
ID: 26656689. Nao foi possivel criar a face.
ID: 26656912. Nao foi possivel criar a face.
ID: 26656912. Nao foi possivel criar a face.
ID: 26656912. Nao foi possivel criar a face.
ID: 26656912. Nao foi possivel criar a face.
ID: 26656912. Nao foi possivel criar a face.
ID: 26656923. Nao foi possivel criar a face.
ID: 26656923. Nao foi possivel criar a face.
ID: 26656923. Nao foi possivel criar a face.
ID: 26656923. Nao foi possivel criar a face.
ID: 26656923. Nao foi possivel criar a face.
ID: 26656923. Nao foi possivel criar a face.
ID: 26656923. Nao foi possivel criar a face.
ID: 26656923. Nao foi possivel criar a face.
ID: 26656923. Nao foi possivel criar a face.
