09/22/18 19:47:53 - Criando quadras do arquivo ./temp/tmp/35503081600_face.shp
ID: 26729099. Geometria multipla encontrada. "+                        "Forcando geometria unica.
ID: 26726915. Geometria multipla encontrada. "+                        "Forcando geometria unica.
ID: 26728093. Geometria multipla encontrada. "+                        "Forcando geometria unica.
ID: 26726641. Geometria multipla encontrada. "+                        "Forcando geometria unica.
ID: 26729146. Geometria multipla encontrada. "+                        "Forcando geometria unica.
ID: 26726445. Geometria multipla encontrada. "+                        "Forcando geometria unica.
ID: 26727201. Geometria multipla encontrada. "+                        "Forcando geometria unica.
ID: 26726553. Geometria multipla encontrada. "+                        "Forcando geometria unica.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26727880. Nao foi possivel criar a face.
ID: 26726926. Nao foi possivel criar a face.
ID: 26726926. Nao foi possivel criar a face.
ID: 26726926. Nao foi possivel criar a face.
ID: 26726926. Nao foi possivel criar a face.
ID: 26726926. Nao foi possivel criar a face.
ID: 26726926. Nao foi possivel criar a face.
ID: 26726926. Nao foi possivel criar a face.
ID: 26726926. Nao foi possivel criar a face.
ID: 26726101. Nao foi possivel criar a face.
ID: 26726101. Nao foi possivel criar a face.
ID: 26726101. Nao foi possivel criar a face.
ID: 26726101. Nao foi possivel criar a face.
ID: 26726101. Nao foi possivel criar a face.
ID: 26726101. Nao foi possivel criar a face.
ID: 26726101. Nao foi possivel criar a face.
ID: 26726101. Nao foi possivel criar a face.
ID: 26726101. Nao foi possivel criar a face.
ID: 26725837. Nao foi possivel criar a face.
ID: 26725837. Nao foi possivel criar a face.
ID: 26725837. Nao foi possivel criar a face.
ID: 26725837. Nao foi possivel criar a face.
ID: 26725837. Nao foi possivel criar a face.
ID: 26725837. Nao foi possivel criar a face.
ID: 26725837. Nao foi possivel criar a face.
ID: 26725837. Nao foi possivel criar a face.
ID: 26725837. Nao foi possivel criar a face.
ID: 26725837. Nao foi possivel criar a face.
ID: 26725837. Nao foi possivel criar a face.
ID: 26725837. Nao foi possivel criar a face.
ID: 26725837. Nao foi possivel criar a face.
ID: 26725837. Nao foi possivel criar a face.
ID: 26725837. Nao foi possivel criar a face.
ID: 26725837. Nao foi possivel criar a face.
ID: 26725837. Nao foi possivel criar a face.
ID: 26725837. Nao foi possivel criar a face.
ID: 26727778. Nao foi possivel criar a face.
ID: 26727778. Nao foi possivel criar a face.
ID: 26727778. Nao foi possivel criar a face.
ID: 26727778. Nao foi possivel criar a face.
ID: 26727778. Nao foi possivel criar a face.
ID: 26727778. Nao foi possivel criar a face.
ID: 26727778. Nao foi possivel criar a face.
ID: 26727778. Nao foi possivel criar a face.
ID: 26727778. Nao foi possivel criar a face.
ID: 26727778. Nao foi possivel criar a face.
ID: 26727778. Nao foi possivel criar a face.
ID: 26727778. Nao foi possivel criar a face.
ID: 26727778. Nao foi possivel criar a face.
ID: 26727778. Nao foi possivel criar a face.
ID: 26727778. Nao foi possivel criar a face.
ID: 26727778. Nao foi possivel criar a face.
ID: 26727494. Nao foi possivel criar a face.
ID: 26727496. Nao foi possivel criar a face.
ID: 26726931. Nao foi possivel criar a face.
ID: 26726931. Nao foi possivel criar a face.
ID: 26727220. Nao foi possivel criar a face.
ID: 26727220. Nao foi possivel criar a face.
ID: 26727220. Nao foi possivel criar a face.
ID: 26727220. Nao foi possivel criar a face.
ID: 26727220. Nao foi possivel criar a face.
ID: 26727220. Nao foi possivel criar a face.
ID: 26727220. Nao foi possivel criar a face.
ID: 26727220. Nao foi possivel criar a face.
ID: 26727220. Nao foi possivel criar a face.
ID: 26726946. Nao foi possivel criar a face.
ID: 26726946. Nao foi possivel criar a face.
ID: 26726946. Nao foi possivel criar a face.
ID: 26726946. Nao foi possivel criar a face.
ID: 26725840. Nao foi possivel criar a face.
ID: 26725840. Nao foi possivel criar a face.
ID: 26725840. Nao foi possivel criar a face.
ID: 26725840. Nao foi possivel criar a face.
ID: 26725840. Nao foi possivel criar a face.
ID: 26726121. Nao foi possivel criar a face.
ID: 26726121. Nao foi possivel criar a face.
ID: 26726121. Nao foi possivel criar a face.
ID: 26726121. Nao foi possivel criar a face.
ID: 26726121. Nao foi possivel criar a face.
ID: 26727326. Nao foi possivel criar a face.
ID: 26727326. Nao foi possivel criar a face.
ID: 26727326. Nao foi possivel criar a face.
ID: 26727326. Nao foi possivel criar a face.
ID: 26727326. Nao foi possivel criar a face.
ID: 26727326. Nao foi possivel criar a face.
ID: 26727326. Nao foi possivel criar a face.
ID: 26727326. Nao foi possivel criar a face.
ID: 26727326. Nao foi possivel criar a face.
ID: 26727326. Nao foi possivel criar a face.
ID: 26727326. Nao foi possivel criar a face.
ID: 26727326. Nao foi possivel criar a face.
ID: 26727326. Nao foi possivel criar a face.
ID: 26727792. Nao foi possivel criar a face.
ID: 26727792. Nao foi possivel criar a face.
ID: 26727792. Nao foi possivel criar a face.
ID: 26727792. Nao foi possivel criar a face.
ID: 26727792. Nao foi possivel criar a face.
ID: 26727792. Nao foi possivel criar a face.
ID: 26727792. Nao foi possivel criar a face.
ID: 26727792. Nao foi possivel criar a face.
ID: 26727792. Nao foi possivel criar a face.
ID: 26726950. Nao foi possivel criar a face.
ID: 26727244. Nao foi possivel criar a face.
ID: 26727244. Nao foi possivel criar a face.
ID: 26726678. Nao foi possivel criar a face.
ID: 26726678. Nao foi possivel criar a face.
ID: 26726678. Nao foi possivel criar a face.
ID: 26726958. Nao foi possivel criar a face.
ID: 26726958. Nao foi possivel criar a face.
ID: 26726958. Nao foi possivel criar a face.
ID: 26726127. Nao foi possivel criar a face.
ID: 26726127. Nao foi possivel criar a face.
ID: 26726127. Nao foi possivel criar a face.
ID: 26727895. Nao foi possivel criar a face.
ID: 26727895. Nao foi possivel criar a face.
ID: 26727895. Nao foi possivel criar a face.
ID: 26727895. Nao foi possivel criar a face.
ID: 26727895. Nao foi possivel criar a face.
ID: 26727895. Nao foi possivel criar a face.
ID: 26727895. Nao foi possivel criar a face.
ID: 26727613. Nao foi possivel criar a face.
ID: 26727615. Nao foi possivel criar a face.
ID: 26727615. Nao foi possivel criar a face.
ID: 26727615. Nao foi possivel criar a face.
ID: 26727615. Nao foi possivel criar a face.
ID: 26727621. Nao foi possivel criar a face.
ID: 26727906. Nao foi possivel criar a face.
ID: 26727906. Nao foi possivel criar a face.
ID: 26727906. Nao foi possivel criar a face.
ID: 26727906. Nao foi possivel criar a face.
ID: 26727906. Nao foi possivel criar a face.
ID: 26727906. Nao foi possivel criar a face.
ID: 26727906. Nao foi possivel criar a face.
ID: 26727906. Nao foi possivel criar a face.
ID: 26727906. Nao foi possivel criar a face.
ID: 26727906. Nao foi possivel criar a face.
ID: 26727906. Nao foi possivel criar a face.
ID: 26727906. Nao foi possivel criar a face.
ID: 26727906. Nao foi possivel criar a face.
ID: 26727906. Nao foi possivel criar a face.
ID: 26727906. Nao foi possivel criar a face.
ID: 26727906. Nao foi possivel criar a face.
ID: 26727906. Nao foi possivel criar a face.
ID: 26727906. Nao foi possivel criar a face.
ID: 26727906. Nao foi possivel criar a face.
ID: 26727906. Nao foi possivel criar a face.
ID: 26727906. Nao foi possivel criar a face.
ID: 26727906. Nao foi possivel criar a face.
ID: 26727906. Nao foi possivel criar a face.
ID: 26726468. Nao foi possivel criar a face.
ID: 26726468. Nao foi possivel criar a face.
ID: 26726468. Nao foi possivel criar a face.
ID: 26726468. Nao foi possivel criar a face.
ID: 26726468. Nao foi possivel criar a face.
ID: 26726468. Nao foi possivel criar a face.
ID: 26726468. Nao foi possivel criar a face.
ID: 26726468. Nao foi possivel criar a face.
ID: 26728377. Nao foi possivel criar a face.
ID: 26728379. Nao foi possivel criar a face.
ID: 26728655. Nao foi possivel criar a face.
ID: 26727804. Nao foi possivel criar a face.
ID: 26727804. Nao foi possivel criar a face.
ID: 26727804. Nao foi possivel criar a face.
ID: 26727804. Nao foi possivel criar a face.
ID: 26727804. Nao foi possivel criar a face.
ID: 26727804. Nao foi possivel criar a face.
ID: 26727804. Nao foi possivel criar a face.
ID: 26727804. Nao foi possivel criar a face.
ID: 26727804. Nao foi possivel criar a face.
ID: 26727804. Nao foi possivel criar a face.
ID: 26727804. Nao foi possivel criar a face.
ID: 26727813. Nao foi possivel criar a face.
ID: 26727813. Nao foi possivel criar a face.
ID: 26727813. Nao foi possivel criar a face.
ID: 26727532. Nao foi possivel criar a face.
ID: 26726960. Nao foi possivel criar a face.
ID: 26726960. Nao foi possivel criar a face.
ID: 26726960. Nao foi possivel criar a face.
ID: 26726960. Nao foi possivel criar a face.
ID: 26726960. Nao foi possivel criar a face.
ID: 26726972. Nao foi possivel criar a face.
ID: 26726972. Nao foi possivel criar a face.
ID: 26726972. Nao foi possivel criar a face.
ID: 26726972. Nao foi possivel criar a face.
ID: 26726972. Nao foi possivel criar a face.
ID: 26726972. Nao foi possivel criar a face.
ID: 26726972. Nao foi possivel criar a face.
ID: 26726972. Nao foi possivel criar a face.
ID: 26728185. Nao foi possivel criar a face.
ID: 26728185. Nao foi possivel criar a face.
ID: 26728185. Nao foi possivel criar a face.
ID: 26727907. Nao foi possivel criar a face.
ID: 26727910. Nao foi possivel criar a face.
ID: 26727910. Nao foi possivel criar a face.
ID: 26727910. Nao foi possivel criar a face.
ID: 26727910. Nao foi possivel criar a face.
ID: 26727910. Nao foi possivel criar a face.
ID: 26727910. Nao foi possivel criar a face.
ID: 26727910. Nao foi possivel criar a face.
ID: 26727921. Nao foi possivel criar a face.
ID: 26727921. Nao foi possivel criar a face.
ID: 26727921. Nao foi possivel criar a face.
ID: 26727921. Nao foi possivel criar a face.
ID: 26727921. Nao foi possivel criar a face.
ID: 26727921. Nao foi possivel criar a face.
ID: 26727921. Nao foi possivel criar a face.
ID: 26727921. Nao foi possivel criar a face.
ID: 26727921. Nao foi possivel criar a face.
ID: 26727921. Nao foi possivel criar a face.
ID: 26727921. Nao foi possivel criar a face.
ID: 26727921. Nao foi possivel criar a face.
ID: 26727921. Nao foi possivel criar a face.
ID: 26727921. Nao foi possivel criar a face.
ID: 26727354. Nao foi possivel criar a face.
ID: 26727354. Nao foi possivel criar a face.
ID: 26727354. Nao foi possivel criar a face.
ID: 26727354. Nao foi possivel criar a face.
ID: 26727363. Nao foi possivel criar a face.
ID: 26727363. Nao foi possivel criar a face.
ID: 26727363. Nao foi possivel criar a face.
ID: 26727363. Nao foi possivel criar a face.
ID: 26727363. Nao foi possivel criar a face.
ID: 26727948. Nao foi possivel criar a face.
ID: 26727948. Nao foi possivel criar a face.
ID: 26727948. Nao foi possivel criar a face.
ID: 26727948. Nao foi possivel criar a face.
ID: 26728541. Nao foi possivel criar a face.
ID: 26728673. Nao foi possivel criar a face.
ID: 26728673. Nao foi possivel criar a face.
ID: 26728673. Nao foi possivel criar a face.
ID: 26728673. Nao foi possivel criar a face.
ID: 26728673. Nao foi possivel criar a face.
ID: 26728673. Nao foi possivel criar a face.
ID: 26728673. Nao foi possivel criar a face.
ID: 26728382. Nao foi possivel criar a face.
ID: 26728382. Nao foi possivel criar a face.
ID: 26728387. Nao foi possivel criar a face.
ID: 26727823. Nao foi possivel criar a face.
ID: 26727823. Nao foi possivel criar a face.
ID: 26727823. Nao foi possivel criar a face.
ID: 26727823. Nao foi possivel criar a face.
ID: 26727823. Nao foi possivel criar a face.
ID: 26727823. Nao foi possivel criar a face.
ID: 26727545. Nao foi possivel criar a face.
ID: 26727545. Nao foi possivel criar a face.
ID: 26727545. Nao foi possivel criar a face.
ID: 26727545. Nao foi possivel criar a face.
ID: 26727545. Nao foi possivel criar a face.
ID: 26727835. Nao foi possivel criar a face.
ID: 26727835. Nao foi possivel criar a face.
ID: 26727835. Nao foi possivel criar a face.
ID: 26727266. Nao foi possivel criar a face.
ID: 26727266. Nao foi possivel criar a face.
ID: 26727266. Nao foi possivel criar a face.
ID: 26727266. Nao foi possivel criar a face.
ID: 26726698. Nao foi possivel criar a face.
ID: 26726698. Nao foi possivel criar a face.
ID: 26726976. Nao foi possivel criar a face.
ID: 26726976. Nao foi possivel criar a face.
ID: 26726976. Nao foi possivel criar a face.
ID: 26725554. Nao foi possivel criar a face.
ID: 26725561. Nao foi possivel criar a face.
ID: 26725561. Nao foi possivel criar a face.
ID: 26725561. Nao foi possivel criar a face.
ID: 26725561. Nao foi possivel criar a face.
ID: 26725561. Nao foi possivel criar a face.
ID: 26725561. Nao foi possivel criar a face.
ID: 26725561. Nao foi possivel criar a face.
ID: 26725561. Nao foi possivel criar a face.
ID: 26725561. Nao foi possivel criar a face.
ID: 26725561. Nao foi possivel criar a face.
ID: 26725561. Nao foi possivel criar a face.
ID: 26728208. Nao foi possivel criar a face.
ID: 26728211. Nao foi possivel criar a face.
ID: 26728211. Nao foi possivel criar a face.
ID: 26728211. Nao foi possivel criar a face.
ID: 26728211. Nao foi possivel criar a face.
ID: 26728211. Nao foi possivel criar a face.
ID: 26729050. Nao foi possivel criar a face.
ID: 26728390. Nao foi possivel criar a face.
ID: 26728390. Nao foi possivel criar a face.
ID: 26728390. Nao foi possivel criar a face.
ID: 26728395. Nao foi possivel criar a face.
ID: 26728395. Nao foi possivel criar a face.
ID: 26728395. Nao foi possivel criar a face.
ID: 26728395. Nao foi possivel criar a face.
ID: 26728395. Nao foi possivel criar a face.
ID: 26728395. Nao foi possivel criar a face.
ID: 26728395. Nao foi possivel criar a face.
ID: 26728395. Nao foi possivel criar a face.
ID: 26728395. Nao foi possivel criar a face.
ID: 26728395. Nao foi possivel criar a face.
ID: 26728395. Nao foi possivel criar a face.
ID: 26728395. Nao foi possivel criar a face.
ID: 26728395. Nao foi possivel criar a face.
ID: 26728395. Nao foi possivel criar a face.
ID: 26728122. Nao foi possivel criar a face.
ID: 26728122. Nao foi possivel criar a face.
ID: 26728122. Nao foi possivel criar a face.
ID: 26728122. Nao foi possivel criar a face.
ID: 26728122. Nao foi possivel criar a face.
ID: 26728122. Nao foi possivel criar a face.
ID: 26728122. Nao foi possivel criar a face.
ID: 26728122. Nao foi possivel criar a face.
ID: 26727551. Nao foi possivel criar a face.
ID: 26727551. Nao foi possivel criar a face.
ID: 26727551. Nao foi possivel criar a face.
ID: 26727551. Nao foi possivel criar a face.
ID: 26727551. Nao foi possivel criar a face.
ID: 26727551. Nao foi possivel criar a face.
ID: 26727551. Nao foi possivel criar a face.
ID: 26727551. Nao foi possivel criar a face.
ID: 26726986. Nao foi possivel criar a face.
ID: 26726986. Nao foi possivel criar a face.
ID: 26725849. Nao foi possivel criar a face.
ID: 26725854. Nao foi possivel criar a face.
ID: 26725854. Nao foi possivel criar a face.
ID: 26725861. Nao foi possivel criar a face.
ID: 26725861. Nao foi possivel criar a face.
ID: 26725861. Nao foi possivel criar a face.
ID: 26725861. Nao foi possivel criar a face.
ID: 26725861. Nao foi possivel criar a face.
ID: 26725861. Nao foi possivel criar a face.
ID: 26725861. Nao foi possivel criar a face.
ID: 26725861. Nao foi possivel criar a face.
ID: 26725861. Nao foi possivel criar a face.
ID: 26725861. Nao foi possivel criar a face.
ID: 26725861. Nao foi possivel criar a face.
